"AFC-HD AMS Life Science Co., Ltd. (JASDAQ:2927)",JASDAQ:2927,Household Products,Japan,Japan,Japan,Company
"AGORA Hospitality Group Co., Ltd (TSE:9704)",TSE:9704,Hotel/Gaming,Japan,Japan,Japan,Company
AGP Corporation (JASDAQ:9377),JASDAQ:9377,Air Transport,Japan,Japan,Japan,Company
Agro-Kanesho Co. Ltd. (TSE:4955),TSE:4955,Chemical (Specialty),Japan,Japan,Japan,Company
AGS Corporation (TSE:3648),TSE:3648,Computer Services,Japan,Japan,Japan,Company
"Ahjikan Co., Ltd. (TSE:2907)",TSE:2907,Food Processing,Japan,Japan,Japan,Company
"Ahkun Co., Ltd. (TSE:3927)",TSE:3927,Software (System & Application),Japan,Japan,Japan,Company
Ahresty Corporation (TSE:5852),TSE:5852,Auto Parts,Japan,Japan,Japan,Company
Ai Holdings Corporation (TSE:3076),TSE:3076,Electronics (General),Japan,Japan,Japan,Company
"AICA Kogyo Co., Ltd. (TSE:4206)",TSE:4206,Building Materials,Japan,Japan,Japan,Company
Aichi Corporation (TSE:6345),TSE:6345,Construction Supplies,Japan,Japan,Japan,Company
"Aichi Electric Co., Ltd. (NSE:6623)",NSE:6623,Electrical Equipment,Japan,Japan,Japan,Company
Aichi Steel Corp. (TSE:5482),TSE:5482,Steel,Japan,Japan,Japan,Company
"Aichi Tokei Denki Co., Ltd. (TSE:7723)",TSE:7723,Electronics (General),Japan,Japan,Japan,Company
"Aida Engineering, Ltd. (TSE:6118)",TSE:6118,Machinery,Japan,Japan,Japan,Company
AIFUL Corporation (TSE:8515),TSE:8515,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
"Aigan Co., Ltd. (TSE:9854)",TSE:9854,Retail (Special Lines),Japan,Japan,Japan,Company
Aiko Corporation (JASDAQ:9909),JASDAQ:9909,Retail (Distributors),Japan,Japan,Japan,Company
Aiming Inc. (TSE:3911),TSE:3911,Software (System & Application),Japan,Japan,Japan,Company
Ain Holdings Inc. (TSE:9627),TSE:9627,Retail (Special Lines),Japan,Japan,Japan,Company
"Ainavo Holdings Co., Ltd. (JASDAQ:7539)",JASDAQ:7539,Homebuilding,Japan,Japan,Japan,Company
"Aiphone Co., Ltd. (TSE:6718)",TSE:6718,Telecom. Equipment,Japan,Japan,Japan,Company
Air Water Inc. (TSE:4088),TSE:4088,Power,Japan,Japan,Japan,Company
Airex Inc. (JASDAQ:6944),JASDAQ:6944,Semiconductor,Japan,Japan,Japan,Company
"Airport Facilities Co., Ltd. (TSE:8864)",TSE:8864,Real Estate (Operations & Services),Japan,Japan,Japan,Company
"Airtech Japan,Ltd. (TSE:6291)",TSE:6291,Machinery,Japan,Japan,Japan,Company
Aisan Industry Co. Ltd. (TSE:7283),TSE:7283,Auto Parts,Japan,Japan,Japan,Company
"Aisan Technology Co., Ltd. (JASDAQ:4667)",JASDAQ:4667,Software (System & Application),Japan,Japan,Japan,Company
"Aisei Pharmacy Co.,Ltd. (JASDAQ:3170)",JASDAQ:3170,Retail (Special Lines),Japan,Japan,Japan,Company
"Aisin Seiki Co., Ltd. (TSE:7259)",TSE:7259,Auto Parts,Japan,Japan,Japan,Company
AIT Corporation (TSE:9381),TSE:9381,Transportation,Japan,Japan,Japan,Company
"Aizawa Securities Co., Ltd. (TSE:8708)",TSE:8708,Brokerage & Investment Banking,Japan,Japan,Japan,Company
"Ajinomoto Co., Inc. (TSE:2802)",TSE:2802,Food Processing,Japan,Japan,Japan,Company
"AJIS Co., Ltd. (JASDAQ:4659)",JASDAQ:4659,Business & Consumer Services,Japan,Japan,Japan,Company
Akasaka Diesels Limited (TSE:6022),TSE:6022,Construction Supplies,Japan,Japan,Japan,Company
"Akatsuki Eazima Co., Ltd. (JASDAQ:1997)",JASDAQ:1997,Engineering/Construction,Japan,Japan,Japan,Company
"Akatsuki Financial Group, Inc. (TSE:8737)",TSE:8737,Brokerage & Investment Banking,Japan,Japan,Japan,Company
Akebono Brake Industry Co. Ltd. (TSE:7238),TSE:7238,Auto Parts,Japan,Japan,Japan,Company
"Akiba Holdings Co., Ltd. (JASDAQ:6840)",JASDAQ:6840,Computers/Peripherals,Japan,Japan,Japan,Company
"Akikawa Foods & Farms Co., Ltd. (JASDAQ:1380)",JASDAQ:1380,Food Processing,Japan,Japan,Japan,Company
ALBERT Inc. (TSE:3906),TSE:3906,Software (Internet),Japan,Japan,Japan,Company
"ALBIS Co.,Ltd. (TSE:7475)",TSE:7475,Retail (Grocery and Food),Japan,Japan,Japan,Company
ALCONIX Corporation (TSE:3036),TSE:3036,Metals & Mining,Japan,Japan,Japan,Company
Alfresa Holdings Corporation (TSE:2784),TSE:2784,Healthcare Support Services,Japan,Japan,Japan,Company
Alinco Incorporated (TSE:5933),TSE:5933,Machinery,Japan,Japan,Japan,Company
"All About, Inc. (JASDAQ:2454)",JASDAQ:2454,Software (Internet),Japan,Japan,Japan,Company
"Allied Architects, Inc. (TSE:6081)",TSE:6081,Advertising,Japan,Japan,Japan,Company
Allied Telesis Holdings K.K. (TSE:6835),TSE:6835,Telecom. Equipment,Japan,Japan,Japan,Company
Almedio Inc. (TSE:7859),TSE:7859,Electronics (General),Japan,Japan,Japan,Company
"Almetax Manufacturing Co., Ltd. (TSE:5928)",TSE:5928,Building Materials,Japan,Japan,Japan,Company
"Alpen Co., Ltd. (TSE:3028)",TSE:3028,Retail (Special Lines),Japan,Japan,Japan,Company
"Alpha Co., Ltd. (JASDAQ:4760)",JASDAQ:4760,Advertising,Japan,Japan,Japan,Company
ALPHA Corporation (TSE:3434),TSE:3434,Auto Parts,Japan,Japan,Japan,Company
Alpha Group Inc. (JASDAQ:3322),JASDAQ:3322,Retail (Special Lines),Japan,Japan,Japan,Company
Alpha Systems Inc. (TSE:4719),TSE:4719,Software (System & Application),Japan,Japan,Japan,Company
"AlphaPolis Co.,Ltd. (TSE:9467)",TSE:9467,Publshing & Newspapers,Japan,Japan,Japan,Company
"Alphax Food System Co.,Ltd (JASDAQ:3814)",JASDAQ:3814,Computer Services,Japan,Japan,Japan,Company
"Alpine Electronics, Inc. (TSE:6816)",TSE:6816,Electronics (Consumer & Office),Japan,Japan,Japan,Company
Alps Electric Co. Ltd. (TSE:6770),TSE:6770,Electronics (General),Japan,Japan,Japan,Company
"Alps Logistics Co., Ltd. (TSE:9055)",TSE:9055,Trucking,Japan,Japan,Japan,Company
Altech Co. Ltd. (TSE:9972),TSE:9972,Retail (Distributors),Japan,Japan,Japan,Company
Altech Corporation (TSE:4641),TSE:4641,Business & Consumer Services,Japan,Japan,Japan,Company
Altplus Inc. (TSE:3672),TSE:3672,Software (Entertainment),Japan,Japan,Japan,Company
"Amada Holdings Co., Ltd. (TSE:6113)",TSE:6113,Machinery,Japan,Japan,Japan,Company
Amagasa Co. Ltd. (JASDAQ:3070),JASDAQ:3070,Shoe,Japan,Japan,Japan,Company
amana inc. (TSE:2402),TSE:2402,Entertainment,Japan,Japan,Japan,Company
Amano Corp. (TSE:6436),TSE:6436,Electronics (General),Japan,Japan,Japan,Company
Amatei Incorporated (TSE:5952),TSE:5952,Building Materials,Japan,Japan,Japan,Company
"Amaze Co.,Ltd. (FKSE:6076)",FKSE:6076,Hotel/Gaming,Japan,Japan,Japan,Company
Ambition Corporation (TSE:3300),TSE:3300,Real Estate (Operations & Services),Japan,Japan,Japan,Company
"Amita Holdings Co., Ltd. (JASDAQ:2195)",JASDAQ:2195,Environmental & Waste Services,Japan,Japan,Japan,Company
"Amiyaki Tei Co., Ltd. (TSE:2753)",TSE:2753,Restaurant/Dining,Japan,Japan,Japan,Company
AMUSE Inc. (TSE:4301),TSE:4301,Entertainment,Japan,Japan,Japan,Company
ANA Holdings Inc. (TSE:9202),TSE:9202,Air Transport,Japan,Japan,Japan,Company
Anabuki Kosan Inc. (TSE:8928),TSE:8928,Real Estate (General/Diversified),Japan,Japan,Japan,Company
ANAP Inc. (JASDAQ:3189),JASDAQ:3189,Retail (Special Lines),Japan,Japan,Japan,Company
"Andor Co., Ltd. (JASDAQ:4640)",JASDAQ:4640,Computer Services,Japan,Japan,Japan,Company
ANEST IWATA Corporation (TSE:6381),TSE:6381,Machinery,Japan,Japan,Japan,Company
"AnGes MG, Inc. (TSE:4563)",TSE:4563,Drugs (Biotechnology),Japan,Japan,Japan,Company
"Anicom Holdings, Inc. (TSE:8715)",TSE:8715,Insurance (Prop/Cas.),Japan,Japan,Japan,Company
"Anrakutei Co., Ltd. (TSE:7562)",TSE:7562,Restaurant/Dining,Japan,Japan,Japan,Company
Anritsu Corp. (TSE:6754),TSE:6754,Electronics (General),Japan,Japan,Japan,Company
"Anshin Guarantor Service Co., Ltd. (TSE:7183)",TSE:7183,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
Aohata Corporation (TSE:2830),TSE:2830,Food Processing,Japan,Japan,Japan,Company
"AOI Electronics Co., Ltd. (TSE:6832)",TSE:6832,Semiconductor,Japan,Japan,Japan,Company
AOI Pro.Inc. (TSE:9607),TSE:9607,Advertising,Japan,Japan,Japan,Company
AOKI Holdings Inc. (TSE:8214),TSE:8214,Retail (Special Lines),Japan,Japan,Japan,Company
"Aoki Super Co., LTD. (JASDAQ:9977)",JASDAQ:9977,Retail (Grocery and Food),Japan,Japan,Japan,Company
"Aoyama Trading Company, Ltd. (TSE:8219)",TSE:8219,Retail (Special Lines),Japan,Japan,Japan,Company
Aoyama Zaisan Networks Company Limited (TSE:8929),TSE:8929,Real Estate (Operations & Services),Japan,Japan,Japan,Company
"Aozora Bank, Ltd. (TSE:8304)",TSE:8304,Bank (Money Center),Japan,Japan,Japan,Company
"AP Company Co., Ltd. (TSE:3175)",TSE:3175,Restaurant/Dining,Japan,Japan,Japan,Company
"Apamanshop Holdings Co.,Ltd. (JASDAQ:8889)",JASDAQ:8889,Real Estate (Operations & Services),Japan,Japan,Japan,Company
Apic Yamada Corporation (TSE:6300),TSE:6300,Semiconductor Equip,Japan,Japan,Japan,Company
Aplix IP Holdings Corporation (TSE:3727),TSE:3727,Software (System & Application),Japan,Japan,Japan,Company
"APLUS FINANCIAL Co., Ltd. (TSE:8589)",TSE:8589,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
"AppBank Co., Ltd. (TSE:6177)",TSE:6177,Retail (Online),Japan,Japan,Japan,Company
"Apple International Co., Ltd. (TSE:2788)",TSE:2788,Retail (Automotive),Japan,Japan,Japan,Company
"Applied Co.,Ltd. (JASDAQ:3020)",JASDAQ:3020,Retail (Special Lines),Japan,Japan,Japan,Company
"Applied Technology Co., Ltd. (JASDAQ:4356)",JASDAQ:4356,Computer Services,Japan,Japan,Japan,Company
Aqua Power Systems Inc. (OTCPK:APSI),OTCPK:APSI,Electrical Equipment,Japan,Japan,Japan,Company
Aqualine Ltd. (TSE:6173),TSE:6173,Business & Consumer Services,Japan,Japan,Japan,Company
"Arakawa Chemical Industries, Ltd. (TSE:4968)",TSE:4968,Chemical (Basic),Japan,Japan,Japan,Company
Arata Corporation (TSE:2733),TSE:2733,Retail (Distributors),Japan,Japan,Japan,Company
"Araya Industrial Co., Ltd. (TSE:7305)",TSE:7305,Steel,Japan,Japan,Japan,Company
"Arbeit-Times Co., Ltd. (JASDAQ:2341)",JASDAQ:2341,Publshing & Newspapers,Japan,Japan,Japan,Company
Architects Studio Japan Inc. (TSE:6085),TSE:6085,Business & Consumer Services,Japan,Japan,Japan,Company
"Arcland Sakamoto Co., Ltd. (TSE:9842)",TSE:9842,Retail (Building Supply),Japan,Japan,Japan,Company
"ArcLand Service Co., Ltd. (TSE:3085)",TSE:3085,Restaurant/Dining,Japan,Japan,Japan,Company
ARCS Company Limited (TSE:9948),TSE:9948,Retail (Grocery and Food),Japan,Japan,Japan,Company
"ARDEPRO Co., Ltd. (TSE:8925)",TSE:8925,Real Estate (Development),Japan,Japan,Japan,Company
Area Quest Inc (TSE:8912),TSE:8912,Real Estate (Operations & Services),Japan,Japan,Japan,Company
"Arealink Co.,Ltd. (TSE:8914)",TSE:8914,Real Estate (Operations & Services),Japan,Japan,Japan,Company
Argo Graphics Inc. (TSE:7595),TSE:7595,Computer Services,Japan,Japan,Japan,Company
"ARIAKE JAPAN Co., Ltd. (TSE:2815)",TSE:2815,Food Processing,Japan,Japan,Japan,Company
"Arigatou Services Company,Limited (JASDAQ:3177)",JASDAQ:3177,Restaurant/Dining,Japan,Japan,Japan,Company
"Arisawa Manufacturing Co., Ltd. (TSE:5208)",TSE:5208,Electronics (General),Japan,Japan,Japan,Company
"Arkcore, Inc. (NSE:3384)",NSE:3384,Retail (Automotive),Japan,Japan,Japan,Company
ARRK Corporation (TSE:7873),TSE:7873,Business & Consumer Services,Japan,Japan,Japan,Company
"Art Green Co., Ltd. (NSE:3419)",NSE:3419,Retail (Distributors),Japan,Japan,Japan,Company
"Art Vivant Co., Ltd. (JASDAQ:7523)",JASDAQ:7523,Retail (Special Lines),Japan,Japan,Japan,Company
"ARTE Salon Holdings, Inc. (JASDAQ:2406)",JASDAQ:2406,Business & Consumer Services,Japan,Japan,Japan,Company
"Artiza Networks, Inc. (TSE:6778)",TSE:6778,Telecom. Equipment,Japan,Japan,Japan,Company
"Artnature, Inc. (TSE:7823)",TSE:7823,Household Products,Japan,Japan,Japan,Company
Artner Company Ltd. (JASDAQ:2163),JASDAQ:2163,Business & Consumer Services,Japan,Japan,Japan,Company
artra corporation (TSE:6029),TSE:6029,Healthcare Support Services,Japan,Japan,Japan,Company
ArtSpark Holdings Inc. (TSE:3663),TSE:3663,Software (System & Application),Japan,Japan,Japan,Company
As One Corp. (TSE:7476),TSE:7476,Healthcare Support Services,Japan,Japan,Japan,Company
"As-me ESTELLE CO., LTD. (TSE:7872)",TSE:7872,Apparel,Japan,Japan,Japan,Company
Asagami Corporation (TSE:9311),TSE:9311,Shipbuilding & Marine,Japan,Japan,Japan,Company
Asahi Broadcasting Corporation (TSE:9405),TSE:9405,Broadcasting,Japan,Japan,Japan,Company
"ASAHI CO.,LTD. (TSE:3333)",TSE:3333,Retail (Special Lines),Japan,Japan,Japan,Company
"Asahi Concrete Works Co., Ltd. (TSE:5268)",TSE:5268,Construction Supplies,Japan,Japan,Japan,Company
Asahi Diamond Industrial Co. Ltd. (TSE:6140),TSE:6140,Machinery,Japan,Japan,Japan,Company
Asahi Eito Co. Ltd. (TSE:5341),TSE:5341,Building Materials,Japan,Japan,Japan,Company
Asahi Glass Co. Ltd. (TSE:5201),TSE:5201,Building Materials,Japan,Japan,Japan,Company
"Asahi Group Holdings, Ltd. (TSE:2502)",TSE:2502,Beverage (Alcoholic),Japan,Japan,Japan,Company
"Asahi Holdings,Inc. (TSE:5857)",TSE:5857,Precious Metals,Japan,Japan,Japan,Company
"Asahi Industries Co., Ltd. (JASDAQ:5456)",JASDAQ:5456,Steel,Japan,Japan,Japan,Company
"Asahi Intecc Co., Ltd. (TSE:7747)",TSE:7747,Healthcare Products,Japan,Japan,Japan,Company
"Asahi Intelligence Service Co., Ltd. (TSE:9799)",TSE:9799,Computer Services,Japan,Japan,Japan,Company
"Asahi Kagaku Kogyo Co., Ltd. (JASDAQ:7928)",JASDAQ:7928,Chemical (Basic),Japan,Japan,Japan,Company
Asahi Kasei Corporation (TSE:3407),TSE:3407,Chemical (Basic),Japan,Japan,Japan,Company
"Asahi Kogyosha Co., Ltd. (TSE:1975)",TSE:1975,Engineering/Construction,Japan,Japan,Japan,Company
"ASAHI Net, Inc. (TSE:3834)",TSE:3834,Software (Internet),Japan,Japan,Japan,Company
"Asahi Organic Chemicals Industry Co., Ltd. (TSE:4216)",TSE:4216,Chemical (Basic),Japan,Japan,Japan,Company
"Asahi Printing Co.,Ltd. (TSE:3951)",TSE:3951,Packaging & Container,Japan,Japan,Japan,Company
Asahi Rubber Inc. (JASDAQ:5162),JASDAQ:5162,Machinery,Japan,Japan,Japan,Company
"Asahi-Seiki Manufacturing Co., Ltd. (NSE:6111)",NSE:6111,Machinery,Japan,Japan,Japan,Company
"Asahimatsu Foods Co., Ltd. (TSE:2911)",TSE:2911,Food Processing,Japan,Japan,Japan,Company
Asahipen Corporation (TSE:4623),TSE:4623,Chemical (Basic),Japan,Japan,Japan,Company
"Asaka Industrial Co., Ltd. (TSE:5962)",TSE:5962,Furn/Home Furnishings,Japan,Japan,Japan,Company
"Asaka Riken Co., Ltd. (JASDAQ:5724)",JASDAQ:5724,Environmental & Waste Services,Japan,Japan,Japan,Company
Asante Incorporated (TSE:6073),TSE:6073,Business & Consumer Services,Japan,Japan,Japan,Company
Asanuma Corporation (TSE:1852),TSE:1852,Engineering/Construction,Japan,Japan,Japan,Company
Asatsu-DK Inc. (TSE:9747),TSE:9747,Advertising,Japan,Japan,Japan,Company
"Asax Co., Ltd. (TSE:8772)",TSE:8772,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan,Company
Ascot Corp. (JASDAQ:3264),JASDAQ:3264,Real Estate (General/Diversified),Japan,Japan,Japan,Company
"Aseed Holdings Co.,Ltd. (TSE:9959)",TSE:9959,Retail (Special Lines),Japan,Japan,Japan,Company
"Asgent, Inc. (JASDAQ:4288)",JASDAQ:4288,Software (Internet),Japan,Japan,Japan,Company
"Ashikaga Holdings Co., Ltd. (TSE:7167)",TSE:7167,Banks (Regional),Japan,Japan,Japan,Company
"Ashimori Industry Co., Ltd. (TSE:3526)",TSE:3526,Auto Parts,Japan,Japan,Japan,Company
"Asia Air Survey Co., Ltd. (TSE:9233)",TSE:9233,Business & Consumer Services,Japan,Japan,Japan,Company
Asia Development Capital Co. Ltd. (TSE:9318),TSE:9318,Investments & Asset Management,Japan,Japan,Japan,Company
"Asia Gate Holdings Co., Ltd. (JASDAQ:1783)",JASDAQ:1783,Engineering/Construction,Japan,Japan,Japan,Company
"Asia Growth Capital, Ltd. (TSE:6993)",TSE:6993,Electrical Equipment,Japan,Japan,Japan,Company
Asia Pile Holdings Corporation (TSE:5288),TSE:5288,Construction Supplies,Japan,Japan,Japan,Company
Asian Star Co. (JASDAQ:8946),JASDAQ:8946,Real Estate (Development),Japan,Japan,Japan,Company
ASICS Corp. (TSE:7936),TSE:7936,Shoe,Japan,Japan,Japan,Company
ASJ Inc. (TSE:2351),TSE:2351,Software (Internet),Japan,Japan,Japan,Company
Aska Corp. (NSE:7227),NSE:7227,Auto Parts,Japan,Japan,Japan,Company
ASKA Pharmaceutical Co.Ltd. (TSE:4514),TSE:4514,Drugs (Pharmaceutical),Japan,Japan,Japan,Company
ASKUL Corporation (TSE:2678),TSE:2678,Retail (Special Lines),Japan,Japan,Japan,Company
Asmo Corporation (TSE:2654),TSE:2654,Food Wholesalers,Japan,Japan,Japan,Company
"Aso Foam Crete Co.,Ltd. (JASDAQ:1730)",JASDAQ:1730,Engineering/Construction,Japan,Japan,Japan,Company
"Asrapport Dining Co., Ltd. (JASDAQ:3069)",JASDAQ:3069,Restaurant/Dining,Japan,Japan,Japan,Company
"Astellas Pharma, Inc. (TSE:4503)",TSE:4503,Drugs (Pharmaceutical),Japan,Japan,Japan,Company
Asti Corporation (TSE:6899),TSE:6899,Auto Parts,Japan,Japan,Japan,Company
"ASTMAX Co., Ltd. (JASDAQ:7162)",JASDAQ:7162,Investments & Asset Management,Japan,Japan,Japan,Company
"Asukanet Co., Ltd. (TSE:2438)",TSE:2438,Business & Consumer Services,Japan,Japan,Japan,Company
"Asunaro Aoki Construction Co.,Ltd. (TSE:1865)",TSE:1865,Engineering/Construction,Japan,Japan,Japan,Company
"AT-Group Co., Ltd. (NSE:8293)",NSE:8293,Retail (Automotive),Japan,Japan,Japan,Company
Ateam Inc. (TSE:3662),TSE:3662,Software (Internet),Japan,Japan,Japan,Company
Atect Corporation (JASDAQ:4241),JASDAQ:4241,Semiconductor Equip,Japan,Japan,Japan,Company
ATOM Corporation (TSE:7412),TSE:7412,Restaurant/Dining,Japan,Japan,Japan,Company
"Atom Livin Tech Co.,Ltd. (JASDAQ:3426)",JASDAQ:3426,Building Materials,Japan,Japan,Japan,Company
Atomix Co. Ltd. (JASDAQ:4625),JASDAQ:4625,Chemical (Specialty),Japan,Japan,Japan,Company
"Atsugi Co.,Ltd. (TSE:3529)",TSE:3529,Apparel,Japan,Japan,Japan,Company
AuBEX CORPORATION (TSE:3583),TSE:3583,Office Equipment & Services,Japan,Japan,Japan,Company
"Aucfan Co., Ltd. (TSE:3674)",TSE:3674,Software (Internet),Japan,Japan,Japan,Company
"AUN Consulting, Inc. (TSE:2459)",TSE:2459,Software (Internet),Japan,Japan,Japan,Company
"Auto Server Co., Ltd. (GTSM:5266)",GTSM:5266,Software (Internet),Japan,Japan,Japan,Company
"Autobacs Seven Co., Ltd. (TSE:9832)",TSE:9832,Retail (Automotive),Japan,Japan,Japan,Company
"AUTOWAVE Co., Ltd. (JASDAQ:2666)",JASDAQ:2666,Retail (Automotive),Japan,Japan,Japan,Company
Aval Data Corporation (JASDAQ:6918),JASDAQ:6918,Semiconductor Equip,Japan,Japan,Japan,Company
Avant Corporation (JASDAQ:3836),JASDAQ:3836,Software (System & Application),Japan,Japan,Japan,Company
Avex Group Holdings Inc. (TSE:7860),TSE:7860,Entertainment,Japan,Japan,Japan,Company
AViX Inc. (JASDAQ:7836),JASDAQ:7836,Semiconductor,Japan,Japan,Japan,Company
"Awa Paper Mfg. Co., Ltd. (TSE:3896)",TSE:3896,Paper/Forest Products,Japan,Japan,Japan,Company
Axel Mark Inc. (TSE:3624),TSE:3624,Software (System & Application),Japan,Japan,Japan,Company
AXELL Corporation (TSE:6730),TSE:6730,Semiconductor,Japan,Japan,Japan,Company
Axial Retailing Inc. (TSE:8255),TSE:8255,Retail (Grocery and Food),Japan,Japan,Japan,Company
"AXYZ Co., Ltd. (JASDAQ:1381)",JASDAQ:1381,Food Processing,Japan,Japan,Japan,Company
Azbil Corporation (TSE:6845),TSE:6845,Electronics (General),Japan,Japan,Japan,Company
Azearth Corporation (TSE:3161),TSE:3161,Apparel,Japan,Japan,Japan,Company
"Azia Co., Ltd. (TSE:2352)",TSE:2352,Software (Internet),Japan,Japan,Japan,Company
"Azuma House Co.,Ltd. (JASDAQ:3293)",JASDAQ:3293,Homebuilding,Japan,Japan,Japan,Company
"Azuma Shipping Co., Ltd. (TSE:9380)",TSE:9380,Shipbuilding & Marine,Japan,Japan,Japan,Company
B-Lot Company Limited (TSE:3452),TSE:3452,Real Estate (Operations & Services),Japan,Japan,Japan,Company
"B-R 31 Ice Cream Co., Ltd. (JASDAQ:2268)",JASDAQ:2268,Restaurant/Dining,Japan,Japan,Japan,Company
"Balnibarbi Co.,Ltd. (TSE:3418)",TSE:3418,Restaurant/Dining,Japan,Japan,Japan,Company
BANDAI NAMCO Holdings Inc. (TSE:7832),TSE:7832,Recreation,Japan,Japan,Japan,Company
"Bando Chemical Industries, Ltd. (TSE:5195)",TSE:5195,Machinery,Japan,Japan,Japan,Company
Bank of Iwate Ltd. (TSE:8345),TSE:8345,Banks (Regional),Japan,Japan,Japan,Company
